district,name,mcdname,mcd,pop
01,"Burkel, John",Laona Township,2713535594,543
01,"Burkel, John",Arveson Township,2706902386,96
01,"Burkel, John",Augsburg Township,2708902764,74
01,"Burkel, John",Badger City,2713503160,375
01,"Burkel, John",Barnett Township,2713503610,139
01,"Burkel, John",Agder Township,2708900388,109
01,"Burkel, John",Barto Township,2713503808,138
01,"Burkel, John",Beaver Township,2713504420,107
01,"Burkel, John",Alvarado City,2708901252,363
01,"Burkel, John",Alma Township,2708901072,88
01,"Burkel, John",Big Woods Township,2708905842,53
01,"Burkel, John",Bloomer Township,2708906535,89
01,"Burkel, John",Boxville Township,2708907120,39
01,"Burkel, John",Cannon Township,2706909676,20
01,"Burkel, John",Caribou Township,2706909874,48
01,"Burkel, John",Cedarbend Township,2713510414,221
01,"Burkel, John",Cedar Township,2708910360,86
01,"Burkel, John",Clow Township,2706912340,46
01,"Burkel, John",Como Township,2708912808,39
01,"Burkel, John",Comstock Township,2708912880,105
01,"Burkel, John",Davis Township,2706914950,30
01,"Burkel, John",Deer Township,2713515166,105
01,"Burkel, John",Deerwood Township,2706915382,153
01,"Burkel, John",Dewey Township,2713515868,122
01,"Burkel, John",Dieter Township,2713515958,148
01,"Burkel, John",Donaldson City,2706916030,42
01,"Burkel, John",Donnelly Township,2708916066,19
01,"Burkel, John",Eagle Point Township,2708917414,17
01,"Burkel, John",East Park Township,2708917756,23
01,"Burkel, John",East Valley Township,2708917864,43
01,"Burkel, John",Eckvoll Township,2708917972,77
01,"Burkel, John",Enstrom Township,2713519466,455
01,"Burkel, John",Espelie Township,2708919736,39
01,"Burkel, John",Excel Township,2708920060,300
01,"Burkel, John",Falun Township,2713520492,251
01,"Burkel, John",Foldahl Township,2708921500,62
01,"Burkel, John",Fork Township,2708921878,10
01,"Burkel, John",Golden Valley Township,2713524326,189
01,"Burkel, John",Grand Plain Township,2708925046,55
01,"Burkel, John",Granville Township,2706925370,83
01,"Burkel, John",Greenbush City,2713525604,719
01,"Burkel, John",Grimstad Township,2713526036,146
01,"Burkel, John",Grygla City,2708926216,221
01,"Burkel, John",Hallock City,2706926576,981
01,"Burkel, John",Hallock Township,2706926594,104
01,"Burkel, John",Halma City,2706926612,61
01,"Burkel, John",Hampden Township,2706926846,38
01,"Burkel, John",Hazelton Township,2706928070,104
01,"Burkel, John",Hereim Township,2713528628,228
01,"Burkel, John",Hill Township,2706929078,15
01,"Burkel, John",Holt City,2708929870,88
01,"Burkel, John",Holt Township,2708929888,132
01,"Burkel, John",Humboldt City,2706930446,45
01,"Burkel, John",Huntly Township,2708930572,77
01,"Burkel, John",Huss Township,2713530626,120
01,"Burkel, John",Jadis Township,2713531634,568
01,"Burkel, John",Jupiter Township,2706932228,111
01,"Burkel, John",Karlstad City,2706932444,760
01,"Burkel, John",Kennedy City,2706932732,193
01,"Burkel, John",Lake Bronson City,2706934136,229
01,"Burkel, John",Lake Township,2713534010,2090
01,"Burkel, John",Lancaster City,2706935378,340
01,"Burkel, John",Argyle City,2708902134,639
01,"Burkel, John",Lincoln Township,2708937142,117
01,"Burkel, John",Lind Township,2713537196,56
01,"Burkel, John",Linsell Township,2708937340,29
01,"Burkel, John",Malung Township,2713539644,438
01,"Burkel, John",Marsh Grove Township,2708940778,143
01,"Burkel, John",McCrea Township,2708938942,241
01,"Burkel, John",McKinley Township,2706939112,38
01,"Burkel, John",Mickinock Township,2713541894,301
01,"Burkel, John",Middle River City,2708941912,303
01,"Burkel, John",Middle River Township,2708941930,78
01,"Burkel, John",Moose River Township,2708944026,25
01,"Burkel, John",Moose Township,2713543900,114
01,"Burkel, John",Moranville Township,2713544080,887
01,"Burkel, John",Moylan Township,2708944692,98
01,"Burkel, John",Nelson Park Township,2708945142,125
01,"Burkel, John",Nereson Township,2713545178,58
01,"Burkel, John",Newfolden City,2708945520,368
01,"Burkel, John",New Folden Township,2708945538,230
01,"Burkel, John",New Maine Township,2708945718,199
01,"Burkel, John",New Solum Township,2708945970,325
01,"Burkel, John",Norden Township,2711346510,379
01,"Burkel, John",North Roseau Unorganized,2713547216,139
01,"Burkel, John",North Township,2711346762,708
01,"Burkel, John",Northwest Roseau Unorganized,2713547357,25
01,"Burkel, John",Norway Township,2706947410,91
01,"Burkel, John",Numedal Township,2711347590,90
01,"Burkel, John",Oak Park Township,2708947878,131
01,"Burkel, John",Oslo City,2708948976,330
01,"Burkel, John",Palmville Township,2713549588,39
01,"Burkel, John",Parker Township,2708949696,35
01,"Burkel, John",Peatland Unorg.,2706950062,9
01,"Burkel, John",Pelan Township,2706950074,45
01,"Burkel, John",Percy Township,2706950452,31
01,"Burkel, John",Pohlitz Township,2713551748,34
01,"Burkel, John",Polonia Township,2713551820,34
01,"Burkel, John",Poplar Grove Township,2713551982,82
01,"Burkel, John",Poppleton Township,2706952072,120
01,"Burkel, John",Reine Township,2713553728,94
01,"Burkel, John",Richardville Township,2706954196,102
01,"Burkel, John",Rocksbury Township,2711355060,6
01,"Burkel, John",Rollis Township,2708955330,115
01,"Burkel, John",Roosevelt City,2713555438,144
01,"Burkel, John",Roseau City,2713555546,2633
01,"Burkel, John",Ross Township,2713555942,429
01,"Burkel, John",Silverton Township,2711360448,187
01,"Burkel, John",Sinnott Township,2708960520,24
01,"Burkel, John",Skagen Township,2713560610,235
01,"Burkel, John",Skane Township,2706960646,46
01,"Burkel, John",Soler Township,2713561096,95
01,"Burkel, John",Southeast Roseau Unorg Terr,2713561330,231
01,"Burkel, John",South Red River Township,2706961456,19
01,"Burkel, John",Spring Brook Township,2706961744,52
01,"Burkel, John",Spruce Township,2713562158,573
01,"Burkel, John",Spruce Valley Township,2708962266,242
01,"Burkel, John",Stafford Township,2713562338,284
01,"Burkel, John",Stephen City,2708962698,658
01,"Burkel, John",St. Joseph Township,2706957112,56
01,"Burkel, John",Stokes Township,2713562932,215
01,"Burkel, John",Strandquist City,2708963112,69
01,"Burkel, John",Strathcona City,2713563130,44
01,"Burkel, John",St. Vincent City,2706958144,64
01,"Burkel, John",St. Vincent Township,2706958162,58
01,"Burkel, John",Svea Township,2706963652,49
01,"Burkel, John",Tamarac Township,2708964138,71
01,"Burkel, John",Tegner Township,2706964336,48
01,"Burkel, John",Teien Township,2706964354,73
01,"Burkel, John",Thief Lake Township,2708964552,39
01,"Burkel, John",Thief River Falls City,2711364570,8573
01,"Burkel, John",Thompson Township,2706964642,152
01,"Burkel, John",Valley Township,2708966514,149
01,"Burkel, John",Vega Township,2708966676,125
01,"Burkel, John",Veldt Township,2708966694,30
01,"Burkel, John",Viking City,2708967090,104
01,"Burkel, John",Viking Township,2708967108,156
01,"Burkel, John",Wanger Township,2708968044,75
01,"Burkel, John",Warren City,2708968170,1563
01,"Burkel, John",Warrenton Township,2708968206,103
01,"Burkel, John",Warroad City,2713568224,1781
01,"Burkel, John",West Valley Township,2708969772,132
01,"Burkel, John",Whiteford Township,2708970096,44
01,"Burkel, John",Wright Township,2708971842,116
01,"Kiel, Debra",Wylie Township,2712571986,65
01,"Kiel, Debra",Andover Township,2711901504,119
01,"Kiel, Debra",Angus Township,2711901648,76
01,"Kiel, Debra",Badger Township,2711903142,117
01,"Kiel, Debra",Belgium Township,2711904726,81
01,"Kiel, Debra",Beltrami City,2711905014,107
01,"Kiel, Debra",Black River Township,2711306364,82
01,"Kiel, Debra",Brandsvold Township,2711907390,245
01,"Kiel, Debra",Brandt Township,2711907408,50
01,"Kiel, Debra",Bray Township,2711307444,64
01,"Kiel, Debra",Brislet Township,2711907768,53
01,"Kiel, Debra",Brooks City,2712508038,141
01,"Kiel, Debra",Browns Creek Township,2712508146,48
01,"Kiel, Debra",Bygland Township,2711909118,272
01,"Kiel, Debra",Chester Township,2711911224,75
01,"Kiel, Debra",Climax City,2711911962,267
01,"Kiel, Debra",Clover Leaf Township,2711312304,84
01,"Kiel, Debra",Columbia Township,2711912682,470
01,"Kiel, Debra",Crookston City,2711913870,7891
01,"Kiel, Debra",Crookston Township,2711913888,413
01,"Kiel, Debra",Deer Park Township,2711315292,126
01,"Kiel, Debra",East Grand Forks City,2711917612,8601
01,"Kiel, Debra",Eden Township,2711918080,168
01,"Kiel, Debra",Emardville Township,2712519196,195
01,"Kiel, Debra",Equality Township,2712519502,131
01,"Kiel, Debra",Erskine City,2711919700,503
01,"Kiel, Debra",Esther Township,2711919790,165
01,"Kiel, Debra",Euclid Township,2711919862,151
01,"Kiel, Debra",Fairfax Township,2711920204,198
01,"Kiel, Debra",Fanny Township,2711920510,103
01,"Kiel, Debra",Farley Township,2711920564,45
01,"Kiel, Debra",Fertile City,2711920978,842
01,"Kiel, Debra",Fisher City,2711921158,435
