district,name,mcd,pop
7,"Fischbach, Michelle",Dilworth City,4612
7,"Fischbach, Michelle",Dollymount Township,80
7,"Fischbach, Michelle",Donaldson City,20
7,"Fischbach, Michelle",Donnelly City,221
7,"Fischbach, Michelle",Donnelly Township,20
7,"Fischbach, Michelle",Donnelly Township,89
7,"Fischbach, Michelle",Doran City,36
7,"Fischbach, Michelle",Dora Township,697
7,"Fischbach, Michelle",Dovray City,58
7,"Fischbach, Michelle",Dovray Township,133
7,"Fischbach, Michelle",Dovre Township,2163
7,"Fischbach, Michelle",Drammen Township,119
7,"Fischbach, Michelle",Dryden Township,301
7,"Fischbach, Michelle",Dublin Township,192
7,"Fischbach, Michelle",Dumont City,75
7,"Fischbach, Michelle",Dunn Township,929
7,"Fischbach, Michelle",Eagle Bend City,546
7,"Fischbach, Michelle",Eagle Lake Township,397
7,"Fischbach, Michelle",Eagle Point Township,10
7,"Fischbach, Michelle",Eagle Valley Township,511
7,"Fischbach, Michelle",Eastern Township,254
7,"Fischbach, Michelle",East Grand Forks City,9176
7,"Fischbach, Michelle",East Kittson Unorganized,3
7,"Fischbach, Michelle",East Lake Lillian Township,170
7,"Fischbach, Michelle",East Park Township,29
7,"Fischbach, Michelle",East Valley Township,43
7,"Fischbach, Michelle",Echo City,243
7,"Fischbach, Michelle",Echo Township,133
7,"Fischbach, Michelle",Eckvoll Township,70
7,"Fischbach, Michelle",Eden Lake Township,1584
7,"Fischbach, Michelle",Eden Township,234
7,"Fischbach, Michelle",Eden Township,191
7,"Fischbach, Michelle",Eden Valley City,549
7,"Fischbach, Michelle",Eden Valley City,478
7,"Fischbach, Michelle",Edgerton City,1258
7,"Fischbach, Michelle",Edison Township,98
7,"Fischbach, Michelle",Edna Township,905
7,"Fischbach, Michelle",Edwards Township,245
7,"Fischbach, Michelle",Effington Township,237
7,"Fischbach, Michelle",Eglon Township,708
7,"Fischbach, Michelle",Eidsvold Township,202
7,"Fischbach, Michelle",Elbow Lake City,1208
7,"Fischbach, Michelle",Elbow Lake Township,125
7,"Fischbach, Michelle",Eldorado Township,85
7,"Fischbach, Michelle",Elizabeth City,168
7,"Fischbach, Michelle",Elizabeth Township,843
7,"Fischbach, Michelle",Elk Lake Township,278
7,"Fischbach, Michelle",Elkton Township,317
7,"Fischbach, Michelle",Ellsborough Township,139
7,"Fischbach, Michelle",Ellsworth Township,841
7,"Fischbach, Michelle",Elmdale City,114
7,"Fischbach, Michelle",Elmdale Township,981
7,"Fischbach, Michelle",Elmer Township,230
7,"Fischbach, Michelle",Elmo Township,323
7,"Fischbach, Michelle",Elmwood Township,415
7,"Fischbach, Michelle",Elrosa City,213
7,"Fischbach, Michelle",Emardville Township,209
7,"Fischbach, Michelle",Emmet Township,178
7,"Fischbach, Michelle",Enstrom Township,418
7,"Fischbach, Michelle",Equality Township,144
7,"Fischbach, Michelle",Erdahl Township,397
7,"Fischbach, Michelle",Erhard City,132
7,"Fischbach, Michelle",Erhards Grove Township,411
7,"Fischbach, Michelle",Ericson Township,224
7,"Fischbach, Michelle",Erie Township,1717
7,"Fischbach, Michelle",Erskine City,403
7,"Fischbach, Michelle",Espelie Township,30
7,"Fischbach, Michelle",Esther Township,148
7,"Fischbach, Michelle",Euclid Township,134
7,"Fischbach, Michelle",Evansville City,603
7,"Fischbach, Michelle",Evansville Township,222
7,"Fischbach, Michelle",Everglade Township,104
7,"Fischbach, Michelle",Evergreen Township,403
7,"Fischbach, Michelle",Everts Township,759
7,"Fischbach, Michelle",Excel Township,310
7,"Fischbach, Michelle",Fahlun Township,332
7,"Fischbach, Michelle",Fairfax City,1250
7,"Fischbach, Michelle",Fairfax Township,160
7,"Fischbach, Michelle",Fairfield Township,114
7,"Fischbach, Michelle",Fairview Township,374
7,"Fischbach, Michelle",Falun Township,242
7,"Fischbach, Michelle",Fanny Township,89
7,"Fischbach, Michelle",Farley Township,59
7,"Fischbach, Michelle",Farming Township,982
7,"Fischbach, Michelle",Farwell City,56
7,"Fischbach, Michelle",Fawn Lake Township,538
7,"Fischbach, Michelle",Faxon Township,712
7,"Fischbach, Michelle",Felton City,179
7,"Fischbach, Michelle",Felton Township,81
7,"Fischbach, Michelle",Fenton Township,146
7,"Fischbach, Michelle",Fergus Falls City,14121
7,"Fischbach, Michelle",Fergus Falls Township,749
7,"Fischbach, Michelle",Fertile City,804
7,"Fischbach, Michelle",Fisher City,422
7,"Fischbach, Michelle",Fisher Township,189
7,"Fischbach, Michelle",Flensburg City,216
7,"Fischbach, Michelle",Flom Township,186
7,"Fischbach, Michelle",Flora Township,167
7,"Fischbach, Michelle",Florence City,28
7,"Fischbach, Michelle",Florida Township,109
7,"Fischbach, Michelle",Flowing Township,89
7,"Fischbach, Michelle",Foldahl Township,78
7,"Fischbach, Michelle",Folden Township,289
7,"Fischbach, Michelle",Folsom Township,111
7,"Fischbach, Michelle",Forada City,170
7,"Fischbach, Michelle",Forest City Township,635
7,"Fischbach, Michelle",Forest Prairie Township,987
7,"Fischbach, Michelle",Fork Township,7
7,"Fischbach, Michelle",Fortier Township,94
7,"Fischbach, Michelle",Fosston City,1434
7,"Fischbach, Michelle",Fossum Township,135
7,"Fischbach, Michelle",Foster Township,118
7,"Fischbach, Michelle",Fountain Prairie Township,238
7,"Fischbach, Michelle",Foxhome City,126
7,"Fischbach, Michelle",Foxhome Township,104
7,"Fischbach, Michelle",Framnas Township,346
7,"Fischbach, Michelle",Franklin City,493
7,"Fischbach, Michelle",Frazee City,1331
7,"Fischbach, Michelle",Freeland Township,87
7,"Fischbach, Michelle",Freeport City,675
7,"Fischbach, Michelle",Friberg Township,800
7,"Fischbach, Michelle",Friendship Township,178
7,"Fischbach, Michelle",Fulda City,1371
7,"Fischbach, Michelle",Gales Township,159
7,"Fischbach, Michelle",Garden Township,220
7,"Fischbach, Michelle",Garfield City,359
7,"Fischbach, Michelle",Garfield Township,116
7,"Fischbach, Michelle",Garfield Township,519
7,"Fischbach, Michelle",Garnes Township,178
7,"Fischbach, Michelle",Garvin City,124
7,"Fischbach, Michelle",Gary City,227
7,"Fischbach, Michelle",Gaylord City,2273
7,"Fischbach, Michelle",Gennessee Township,423
7,"Fischbach, Michelle",Genola City,70
7,"Fischbach, Michelle",Gentilly Township,260
7,"Fischbach, Michelle",Georgetown City,86
7,"Fischbach, Michelle",Georgetown Township,135
7,"Fischbach, Michelle",Germania Township,527
7,"Fischbach, Michelle",Germantown Township,171
7,"Fischbach, Michelle",Gervais Township,235
7,"Fischbach, Michelle",Getty Township,347
7,"Fischbach, Michelle",Ghent City,376
7,"Fischbach, Michelle",Gibbon City,784
7,"Fischbach, Michelle",Gilchrist Township,213
7,"Fischbach, Michelle",Girard Township,715
7,"Fischbach, Michelle",Glencoe City,5719
7,"Fischbach, Michelle",Glencoe Township,514
7,"Fischbach, Michelle",Glenwood City,2657
7,"Fischbach, Michelle",Glenwood Township,1169
7,"Fischbach, Michelle",Glyndon City,1306
7,"Fischbach, Michelle",Glyndon Township,317
7,"Fischbach, Michelle",Godfrey Township,294
7,"Fischbach, Michelle",Golden Valley Township,180
7,"Fischbach, Michelle",Good Hope Township,45
7,"Fischbach, Michelle",Goodridge City,112
7,"Fischbach, Michelle",Goodridge Township,79
7,"Fischbach, Michelle",Goose Prairie Township,200
7,"Fischbach, Michelle",Gordon Township,659
7,"Fischbach, Michelle",Gorman Township,511
7,"Fischbach, Michelle",Gorton Township,49
7,"Fischbach, Michelle",Grace Township,103
7,"Fischbach, Michelle",Graceville City,505
7,"Fischbach, Michelle",Graceville Township,191
7,"Fischbach, Michelle",Grafton Township,206
7,"Fischbach, Michelle",Grand Forks Township,195
7,"Fischbach, Michelle",Grand Plain Township,54
7,"Fischbach, Michelle",Grandview Township,261
7,"Fischbach, Michelle",Grange Township,222
7,"Fischbach, Michelle",Granite Falls City,946
7,"Fischbach, Michelle",Granite Falls City,1791
7,"Fischbach, Michelle",Granite Falls Township,212
7,"Fischbach, Michelle",Granite Rock Township,203
7,"Fischbach, Michelle",Granite Township,469
7,"Fischbach, Michelle",Granville Township,65
7,"Fischbach, Michelle",Gray Township,215
7,"Fischbach, Michelle",Great Bend Township,314
7,"Fischbach, Michelle",Greenbush City,682
7,"Fischbach, Michelle",Green Isle City,547
7,"Fischbach, Michelle",Green Isle Township,562
7,"Fischbach, Michelle",Green Lake Township,1637
7,"Fischbach, Michelle",Greenleaf Township,744
7,"Fischbach, Michelle",Green Meadow Township,85
7,"Fischbach, Michelle",Green Prairie Township,764
7,"Fischbach, Michelle",Green Valley Township,348
7,"Fischbach, Michelle",Greenwald City,197
7,"Fischbach, Michelle",Grey Eagle City,330
7,"Fischbach, Michelle",Grey Eagle Township,556
7,"Fischbach, Michelle",Grimstad Township,121
7,"Fischbach, Michelle",Grove City City,624
7,"Fischbach, Michelle",Grove Lake Township,271
7,"Fischbach, Michelle",Grove Park-Tilden Township,257
7,"Fischbach, Michelle",Grove Township,480
7,"Fischbach, Michelle",Grygla City,180
7,"Fischbach, Michelle",Gully City,59
7,"Fischbach, Michelle",Gully Township,136
7,"Fischbach, Michelle",Hadley City,54
7,"Fischbach, Michelle",Hagen Township,128
7,"Fischbach, Michelle",Hale Township,905
7,"Fischbach, Michelle",Hallock City,906
7,"Fischbach, Michelle",Hallock Township,84
7,"Fischbach, Michelle",Halma City,58
7,"Fischbach, Michelle",Halstad City,564
7,"Fischbach, Michelle",Halstad Township,104
7,"Fischbach, Michelle",Hamden Township,212
7,"Fischbach, Michelle",Hamlin Township,148
7,"Fischbach, Michelle",Hammer Township,182
7,"Fischbach, Michelle",Hammond Township,45
7,"Fischbach, Michelle",Hampden Township,29
7,"Fischbach, Michelle",Hancock City,863
7,"Fischbach, Michelle",Hanley Falls City,243
7,"Fischbach, Michelle",Hansonville Township,81
7,"Fischbach, Michelle",Hantho Township,99
7,"Fischbach, Michelle",Harding City,123
7,"Fischbach, Michelle",Harrison Township,554
7,"Fischbach, Michelle",Hartford Township,634
7,"Fischbach, Michelle",Harvey Township,377
7,"Fischbach, Michelle",Hassan Valley Township,643
7,"Fischbach, Michelle",Hatfield City,53
7,"Fischbach, Michelle",Havelock Township,150
7,"Fischbach, Michelle",Hawk Creek Township,195
7,"Fischbach, Michelle",Hawley City,2219
7,"Fischbach, Michelle",Hawley Township,491
7,"Fischbach, Michelle",Hayes Township,223
7,"Fischbach, Michelle",Hazel Run City,55
7,"Fischbach, Michelle",Hazel Run Township,196
7,"Fischbach, Michelle",Hazelton Township,100
7,"Fischbach, Michelle",Hector City,1012
7,"Fischbach, Michelle",Hector Township,196
7,"Fischbach, Michelle",Hegbert Township,79
7,"Fischbach, Michelle",Hegne Township,46
7,"Fischbach, Michelle",Height of Land Township,682
7,"Fischbach, Michelle",Helen Township,858
7,"Fischbach, Michelle",Helgeland Township,41
7,"Fischbach, Michelle",Henderson City,960
7,"Fischbach, Michelle",Henderson Township,665
7,"Fischbach, Michelle",Hendricks City,616
7,"Fischbach, Michelle",Hendricks Township,186
7,"Fischbach, Michelle",Hendrum City,289
7,"Fischbach, Michelle",Hendrum Township,83
7,"Fischbach, Michelle",Henning City,854
7,"Fischbach, Michelle",Henning Township,389
7,"Fischbach, Michelle",Henrietta Township,1514
7,"Fischbach, Michelle",Henryville Township,177
7,"Fischbach, Michelle",Hereim Township,227
7,"Fischbach, Michelle",Herman City,384
7,"Fischbach, Michelle",Hewitt City,251
7,"Fischbach, Michelle",Hickory Township,69
7,"Fischbach, Michelle",Higdem Township,83
7,"Fischbach, Michelle",Highland Grove Township,274
7,"Fischbach, Michelle",Highlanding Township,202
7,"Fischbach, Michelle",Highwater Township,143
7,"Fischbach, Michelle",Hillman City,23
7,"Fischbach, Michelle",Hillman Township,194
7,"Fischbach, Michelle",Hill River Township,197
7,"Fischbach, Michelle",Hill Township,22
7,"Fischbach, Michelle",Hitterdal City,199
7,"Fischbach, Michelle",Hobart Township,798
7,"Fischbach, Michelle",Hodges Township,300
7,"Fischbach, Michelle",Hoffman City,698
7,"Fischbach, Michelle",Hoff Township,162
7,"Fischbach, Michelle",Holdingford City,743
7,"Fischbach, Michelle",Holding Township,1182
7,"Fischbach, Michelle",Holland City,169
7,"Fischbach, Michelle",Holland Township,359
7,"Fischbach, Michelle",Holloway City,87
7,"Fischbach, Michelle",Holly Township,98
7,"Fischbach, Michelle",Holmes City Township,799
7,"Fischbach, Michelle",Holmesville Township,543
7,"Fischbach, Michelle",Holt City,90
7,"Fischbach, Michelle",Holt Township,120
7,"Fischbach, Michelle",Holy Cross Township,113
7,"Fischbach, Michelle",Home Lake Township,107
7,"Fischbach, Michelle",Homestead Township,399
7,"Fischbach, Michelle",Honner Township,58
7,"Fischbach, Michelle",Hope Township,220
7,"Fischbach, Michelle",Horton Township,189
7,"Fischbach, Michelle",Hubbard Township,770
7,"Fischbach, Michelle",Hubbard Township,58
7,"Fischbach, Michelle",Hudson Township,944
7,"Fischbach, Michelle",Humboldt City,41
7,"Fischbach, Michelle",Humboldt Township,280
7,"Fischbach, Michelle",Huntersville Township,101
7,"Fischbach, Michelle",Huntly Township,69
7,"Fischbach, Michelle",Huntsville Township,442
7,"Fischbach, Michelle",Huss Township,106
7,"Fischbach, Michelle",Hutchinson City,14505
7,"Fischbach, Michelle",Hutchinson Township,1215
7,"Fischbach, Michelle",Ida Township,1394
7,"Fischbach, Michelle",Ihlen City,59
7,"Fischbach, Michelle",Inman Township,293
7,"Fischbach, Michelle",Iona City,166
7,"Fischbach, Michelle",Iona Township,161
7,"Fischbach, Michelle",Iona Township,504
7,"Fischbach, Michelle",Irving Township,965
7,"Fischbach, Michelle",Island Lake Township,172
7,"Fischbach, Michelle",Ivanhoe City,560
7,"Fischbach, Michelle",Jadis Township,624
7,"Fischbach, Michelle",Jasper City,550
7,"Fischbach, Michelle",Jeffers City,349
7,"Fischbach, Michelle",Jessenland Township,427
7,"Fischbach, Michelle",Johnson City,24
7,"Fischbach, Michelle",Johnson Township,41
7,"Fischbach, Michelle",Johnsonville Township,126
7,"Fischbach, Michelle",Jupiter Township,109
7,"Fischbach, Michelle",Kandiyohi City,569
7,"Fischbach, Michelle",Kandiyohi Township,572
7,"Fischbach, Michelle",Kandota Township,805
7,"Fischbach, Michelle",Karlstad City,710
7,"Fischbach, Michelle",Keene Township,153
7,"Fischbach, Michelle",Kelso Township,269
7,"Fischbach, Michelle",Kennedy City,176
7,"Fischbach, Michelle",Kensington City,266
7,"Fischbach, Michelle",Kent City,61
7,"Fischbach, Michelle",Kerkhoven City,805
7,"Fischbach, Michelle",Kerkhoven Township,227
7,"Fischbach, Michelle",Kertsonville Township,90
7,"Fischbach, Michelle",Keystone Township,70
7,"Fischbach, Michelle",Kildare Township,134
7,"Fischbach, Michelle",Kimball City,799
7,"Fischbach, Michelle",Kingman Township,172
7,"Fischbach, Michelle",Kingston City,184
7,"Fischbach, Michelle",Kingston Township,1258
7,"Fischbach, Michelle",King Township,225
7,"Fischbach, Michelle",Kintire Township,190
7,"Fischbach, Michelle",Knute Township,563
7,"Fischbach, Michelle",Kragero Township,122
7,"Fischbach, Michelle",Kragnes Township,255
7,"Fischbach, Michelle",Krain Township,984
7,"Fischbach, Michelle",Kratka Township,145
7,"Fischbach, Michelle",Kurtz Township,253
7,"Fischbach, Michelle",Lac qui Parle Township,185
7,"Fischbach, Michelle",La Grand Township,4279
7,"Fischbach, Michelle",Lake Andrew Township,978
7,"Fischbach, Michelle",Lake Benton City,687
7,"Fischbach, Michelle",Lake Benton Township,205
7,"Fischbach, Michelle",Lake Bronson City,178
7,"Fischbach, Michelle",Lake Elizabeth Township,190
7,"Fischbach, Michelle",Lake Eunice Township,1729
7,"Fischbach, Michelle",Lake George Township,308
7,"Fischbach, Michelle",Lake Henry City,72
7,"Fischbach, Michelle",Lake Henry Township,248
7,"Fischbach, Michelle",Lake Ida Township,137
7,"Fischbach, Michelle",Lake Johanna Township,124
7,"Fischbach, Michelle",Lake Lillian City,246
7,"Fischbach, Michelle",Lake Lillian Township,181
7,"Fischbach, Michelle",Lake Marshall Township,564
7,"Fischbach, Michelle",Lake Mary Township,1142
7,"Fischbach, Michelle",Lake Park City,728
7,"Fischbach, Michelle",Lake Park Township,549
7,"Fischbach, Michelle",Lake Pleasant Township,104
7,"Fischbach, Michelle",Lake Sarah Township,282
7,"Fischbach, Michelle",Lake Shore Township,173
7,"Fischbach, Michelle",Lakeside Township,237
7,"Fischbach, Michelle",Lake Stay Township,137
7,"Fischbach, Michelle",Lake Township,1980
7,"Fischbach, Michelle",Lake Valley Township,198
7,"Fischbach, Michelle",Lake View Township,1780
7,"Fischbach, Michelle",Lake Wilson City,254
7,"Fischbach, Michelle",Lakin Township,464
7,"Fischbach, Michelle",Lamberton City,792
7,"Fischbach, Michelle",Lamberton Township,200
7,"Fischbach, Michelle",Lambert Township,136
7,"Fischbach, Michelle",Lancaster City,364
7,"Fischbach, Michelle",Land Township,269
7,"Fischbach, Michelle",Langhei Township,171
7,"Fischbach, Michelle",Laona Township,508
7,"Fischbach, Michelle",Lastrup City,120
7,"Fischbach, Michelle",Lawrence Township,94
7,"Fischbach, Michelle",Leaf Lake Township,637
7,"Fischbach, Michelle",Leaf Mountain Township,322
7,"Fischbach, Michelle",Leaf River Township,473
7,"Fischbach, Michelle",Leaf Valley Township,404
7,"Fischbach, Michelle",Leavenworth Township,271
7,"Fischbach, Michelle",Leeds Township,189
7,"Fischbach, Michelle",Leenthrop Township,241
7,"Fischbach, Michelle",Lee Township,118
7,"Fischbach, Michelle",Leigh Township,212
7,"Fischbach, Michelle",Lengby City,92
7,"Fischbach, Michelle",Leonardsville Township,111
7,"Fischbach, Michelle",Leslie Township,668
7,"Fischbach, Michelle",Lessor Township,139
7,"Fischbach, Michelle",Lester Prairie City,1906
7,"Fischbach, Michelle",Le Sueur City,0
7,"Fischbach, Michelle",Leven Township,536
7,"Fischbach, Michelle",Liberty Township,113
7,"Fischbach, Michelle",Lida Township,780
7,"Fischbach, Michelle",Lien Township,123
7,"Fischbach, Michelle",Lime Lake Township,172
7,"Fischbach, Michelle",Limestone Township,133
7,"Fischbach, Michelle",Lincoln Township,81
7,"Fischbach, Michelle",Lind Township,32
7,"Fischbach, Michelle",Linsell Township,20
7,"Fischbach, Michelle",Lisbon Township,181
7,"Fischbach, Michelle",Litchfield City,6624
7,"Fischbach, Michelle",Litchfield Township,828
7,"Fischbach, Michelle",Little Elk Township,266
7,"Fischbach, Michelle",Little Falls City,9150
7,"Fischbach, Michelle",Little Falls Township,1675
7,"Fischbach, Michelle",Little Sauk Township,873
7,"Fischbach, Michelle",Lockhart Township,48
7,"Fischbach, Michelle",Logan Township,72
7,"Fischbach, Michelle",Lone Tree Township,242
7,"Fischbach, Michelle",Long Beach City,338
7,"Fischbach, Michelle",Long Prairie City,3661
7,"Fischbach, Michelle",Long Prairie Township,884
7,"Fischbach, Michelle",Louisburg City,31
7,"Fischbach, Michelle",Louisville Township,171
7,"Fischbach, Michelle",Louriston Township,254
7,"Fischbach, Michelle",Lowell Township,287
7,"Fischbach, Michelle",Lowry City,334
7,"Fischbach, Michelle",Lowville Township,154
7,"Fischbach, Michelle",Lucan City,214
7,"Fischbach, Michelle",Lucas Township,210
7,"Fischbach, Michelle",Lund Township,346
7,"Fischbach, Michelle",Luxemburg Township,631
7,"Fischbach, Michelle",Lynd City,436
7,"Fischbach, Michelle",Lynd Township,414
7,"Fischbach, Michelle",Lynn Township,613
7,"Fischbach, Michelle",Lyons Township,192
7,"Fischbach, Michelle",Lyons Township,187
7,"Fischbach, Michelle",Macsville Township,109
7,"Fischbach, Michelle",Madison City,1518
7,"Fischbach, Michelle",Madison Township,204
7,"Fischbach, Michelle",Maine Prairie Township,1886
7,"Fischbach, Michelle",Maine Township,665
7,"Fischbach, Michelle",Malta Township,82
7,"Fischbach, Michelle",Malung Township,391
7,"Fischbach, Michelle",Mamre Township,399
7,"Fischbach, Michelle",Manannah Township,577
7,"Fischbach, Michelle",Mandt Township,150
7,"Fischbach, Michelle",Manfred Township,80
7,"Fischbach, Michelle",Manston Township,41
7,"Fischbach, Michelle",Mantrap Township,522
7,"Fischbach, Michelle",Maplewood Township,294
7,"Fischbach, Michelle",Marble Township,170
7,"Fischbach, Michelle",Marietta City,116
7,"Fischbach, Michelle",Marshall City,13628
7,"Fischbach, Michelle",Marshfield Township,256
7,"Fischbach, Michelle",Marsh Grove Township,119
7,"Fischbach, Michelle",Martinsburg Township,157
7,"Fischbach, Michelle",Marysland Township,96
7,"Fischbach, Michelle",Mary Township,61
7,"Fischbach, Michelle",Mason Township,276
7,"Fischbach, Michelle",Maxwell Township,157
7,"Fischbach, Michelle",Mayfield Township,49
7,"Fischbach, Michelle",Maynard City,319
7,"Fischbach, Michelle",McCauleyville Township,62
7,"Fischbach, Michelle",McCrea Township,247
7,"Fischbach, Michelle",McDonaldsville Township,165
7,"Fischbach, Michelle",McIntosh City,606
7,"Fischbach, Michelle",McKinley Unorganized,38
7,"Fischbach, Michelle",Meadows Township,53
7,"Fischbach, Michelle",Meadow Township,216
7,"Fischbach, Michelle",Mehurin Township,70
7,"Fischbach, Michelle",Meire Grove City,180
7,"Fischbach, Michelle",Melrose City,3602
7,"Fischbach, Michelle",Melrose Township,729
7,"Fischbach, Michelle",Melville Township,194
7,"Fischbach, Michelle",Menahga City,1340
7,"Fischbach, Michelle",Mentor City,104
7,"Fischbach, Michelle",Mickinock Township,261
7,"Fischbach, Michelle",Middle River City,304
7,"Fischbach, Michelle",Middle River Township,80
7,"Fischbach, Michelle",Midway Township,242
7,"Fischbach, Michelle",Milan City,431
7,"Fischbach, Michelle",Millerville City,100
7,"Fischbach, Michelle",Millerville Township,417
7,"Fischbach, Michelle",Millwood Township,950
7,"Fischbach, Michelle",Milroy City,259
7,"Fischbach, Michelle",Miltona City,431
7,"Fischbach, Michelle",Miltona Township,914
7,"Fischbach, Michelle",Minneota City,1366
7,"Fischbach, Michelle",Minnesota Falls Township,361
7,"Fischbach, Michelle",Minnewaska Township,513
7,"Fischbach, Michelle",Mitchell Township,80
7,"Fischbach, Michelle",Moe Township,763
7,"Fischbach, Michelle",Moland Township,252
7,"Fischbach, Michelle",Moltke Township,268
7,"Fischbach, Michelle",Monroe Township,181
7,"Fischbach, Michelle",Monson Township,110
7,"Fischbach, Michelle",Montevideo City,5398
7,"Fischbach, Michelle",Moonshine Township,85
7,"Fischbach, Michelle",Moore Township,286
7,"Fischbach, Michelle",Moorhead City,44505
7,"Fischbach, Michelle",Moorhead Township,184
7,"Fischbach, Michelle",Moose River Township,28
7,"Fischbach, Michelle",Moose Township,103
7,"Fischbach, Michelle",Moran Township,489
7,"Fischbach, Michelle",Moranville Township,911
7,"Fischbach, Michelle",Morgan City,888
7,"Fischbach, Michelle",Morgan Township,245
7,"Fischbach, Michelle",Morken Township,151
7,"Fischbach, Michelle",Morrill Township,708
7,"Fischbach, Michelle",Morris City,5105
7,"Fischbach, Michelle",Morris Township,393
7,"Fischbach, Michelle",Morton City,410
7,"Fischbach, Michelle",Motley City,667
7,"Fischbach, Michelle",Motley Township,244
7,"Fischbach, Michelle",Moulton Township,193
7,"Fischbach, Michelle",Mountain Lake City,1961
7,"Fischbach, Michelle",Mountain Lake Township,332
7,"Fischbach, Michelle",Mount Morris Township,79
7,"Fischbach, Michelle",Moyer Township,94
7,"Fischbach, Michelle",Moylan Township,96
7,"Fischbach, Michelle",Mud Lake Unorganized,0
7,"Fischbach, Michelle",Mulligan Township,180
7,"Fischbach, Michelle",Munson Township,1447
7,"Fischbach, Michelle",Murdock City,306
7,"Fischbach, Michelle",Murray Township,163
7,"Fischbach, Michelle",Nashua City,67
7,"Fischbach, Michelle",Nassau City,65
7,"Fischbach, Michelle",Nelson City,182
7,"Fischbach, Michelle",Nelson Park Township,124
7,"Fischbach, Michelle",Nereson Township,56
7,"Fischbach, Michelle",Nesbit Township,111
7,"Fischbach, Michelle",Nevis City,377
7,"Fischbach, Michelle",Nevis Township,1143
7,"Fischbach, Michelle",New Auburn City,411
7,"Fischbach, Michelle",New Auburn Township,387
7,"Fischbach, Michelle",New Avon Township,190
7,"Fischbach, Michelle",Newfolden City,352
7,"Fischbach, Michelle",New Folden Township,216
7,"Fischbach, Michelle",New London City,1232
7,"Fischbach, Michelle",New London Township,2972
7,"Fischbach, Michelle",New Maine Township,200
7,"Fischbach, Michelle",New Munich City,356
7,"Fischbach, Michelle",New Prairie Township,181
7,"Fischbach, Michelle",New Solum Township,315
7,"Fischbach, Michelle",Newton Township,815
7,"Fischbach, Michelle",New York Mills City,1294
7,"Fischbach, Michelle",Nidaros Township,356
7,"Fischbach, Michelle",Nielsville City,78
7,"Fischbach, Michelle",Nilsen Township,51
7,"Fischbach, Michelle",Nimrod City,84
7,"Fischbach, Michelle",Nora Township,203
7,"Fischbach, Michelle",Norcross City,52
7,"Fischbach, Michelle",Norden Township,369
7,"Fischbach, Michelle",Nordick Township,72
7,"Fischbach, Michelle",Nordland Township,185
7,"Fischbach, Michelle",Norfolk Township,149
7,"Fischbach, Michelle",Normania Township,161
7,"Fischbach, Michelle",Norman Township,258
7,"Fischbach, Michelle",North Fork Township,273
7,"Fischbach, Michelle",North Germany Township,290
7,"Fischbach, Michelle",North Hero Township,154
7,"Fischbach, Michelle",Northland Township,151
7,"Fischbach, Michelle",North Ottawa Township,47
7,"Fischbach, Michelle",North Red River Unorganized,0
7,"Fischbach, Michelle",North Roseau Unorganized,161
7,"Fischbach, Michelle",North Star Township,268
7,"Fischbach, Michelle",North Township,761
7,"Fischbach, Michelle",Northwest Roseau Unorganized,28
7,"Fischbach, Michelle",Norway Lake Township,281
7,"Fischbach, Michelle",Norway Township,94
7,"Fischbach, Michelle",Norwegian Grove Township,340
7,"Fischbach, Michelle",Numedal Township,97
7,"Fischbach, Michelle",Oak Park Township,111
7,"Fischbach, Michelle",Oakport Township,506
7,"Fischbach, Michelle",Oak Township,623
7,"Fischbach, Michelle",Oak Valley Township,363
7,"Fischbach, Michelle",Odessa City,103
7,"Fischbach, Michelle",Odessa Township,140
7,"Fischbach, Michelle",Oklee City,413
7,"Fischbach, Michelle",Olivia City,2343
7,"Fischbach, Michelle",Omro Township,127
7,"Fischbach, Michelle",Onstad Township,61
7,"Fischbach, Michelle",Orange Township,351
7,"Fischbach, Michelle",Orton Township,200
7,"Fischbach, Michelle",Ortonville City,2021
7,"Fischbach, Michelle",Ortonville Township,90
7,"Fischbach, Michelle",Orwell Township,144
7,"Fischbach, Michelle",Osage Township,885
7,"Fischbach, Michelle",Osakis City,1630
7,"Fischbach, Michelle",Osakis City,141
7,"Fischbach, Michelle",Osakis Township,681
7,"Fischbach, Michelle",Osborne Township,301
7,"Fischbach, Michelle",Oscar Township,208
7,"Fischbach, Michelle",Osceola Township,129
7,"Fischbach, Michelle",Oshkosh Township,190
7,"Fischbach, Michelle",Oslo City,239
7,"Fischbach, Michelle",Otrey Township,69
7,"Fischbach, Michelle",Ottertail City,629
7,"Fischbach, Michelle",Otter Tail Township,602
7,"Fischbach, Michelle",Otto Township,600
7,"Fischbach, Michelle",Paddock Township,327
7,"Fischbach, Michelle",Palmville Township,42
7,"Fischbach, Michelle",Palmyra Township,168
7,"Fischbach, Michelle",Parkers Prairie City,1020
7,"Fischbach, Michelle",Parkers Prairie Township,390
7,"Fischbach, Michelle",Parker Township,36
7,"Fischbach, Michelle",Parker Township,462
7,"Fischbach, Michelle",Parke Township,526
7,"Fischbach, Michelle",Park Rapids City,4142
7,"Fischbach, Michelle",Parnell Township,61
7,"Fischbach, Michelle",Parnell Township,64
7,"Fischbach, Michelle",Paxton Township,667
7,"Fischbach, Michelle",Paynesville City,2315
7,"Fischbach, Michelle",Paynesville Township,1494
7,"Fischbach, Michelle",Pelan Township,46
