district,name,mcdname,pop
1,"Hagedorn, Jim",Mantorville Township,1926
1,"Hagedorn, Jim",Manyaska Township,306
1,"Hagedorn, Jim",Mapleton City,1756
1,"Hagedorn, Jim",Mapleton Township,310
1,"Hagedorn, Jim",Mapleview City,176
1,"Hagedorn, Jim",Marion Township,3653
1,"Hagedorn, Jim",Marshall Township,361
1,"Hagedorn, Jim",Martin Township,382
1,"Hagedorn, Jim",Mayville Township,409
1,"Hagedorn, Jim",McPherson Township,466
1,"Hagedorn, Jim",Medford City,1239
1,"Hagedorn, Jim",Medford Township,813
1,"Hagedorn, Jim",Medo Township,364
1,"Hagedorn, Jim",Meriden Township,621
1,"Hagedorn, Jim",Merton Township,348
1,"Hagedorn, Jim",Middletown Township,227
1,"Hagedorn, Jim",Midway Township,219
1,"Hagedorn, Jim",Milford Township,694
1,"Hagedorn, Jim",Milton Township,734
1,"Hagedorn, Jim",Minneiska City,50
1,"Hagedorn, Jim",Minneota Township,259
1,"Hagedorn, Jim",Minnesota City,204
1,"Hagedorn, Jim",Minnesota Lake City,687
1,"Hagedorn, Jim",Minnesota Lake Township,190
1,"Hagedorn, Jim",Money Creek Township,597
1,"Hagedorn, Jim",Montgomery City,2956
1,"Hagedorn, Jim",Montgomery Township,665
1,"Hagedorn, Jim",Morristown Township,1684
1,"Hagedorn, Jim",Moscow Township,538
1,"Hagedorn, Jim",Mound Prairie Township,606
1,"Hagedorn, Jim",Mound Township,252
1,"Hagedorn, Jim",Mountain Lake City,2104
1,"Hagedorn, Jim",Mountain Lake Township,384
1,"Hagedorn, Jim",Mount Vernon Township,273
1,"Hagedorn, Jim",Mulligan Township,218
1,"Hagedorn, Jim",Myrtle City,48
1,"Hagedorn, Jim",Nashville Township,195
1,"Hagedorn, Jim",Nelson Township,287
1,"Hagedorn, Jim",Nevada Township,338
1,"Hagedorn, Jim",Newburg Township,379
1,"Hagedorn, Jim",New Hartford Township,890
1,"Hagedorn, Jim",New Haven Township,1184
1,"Hagedorn, Jim",New Prague City,3041
1,"Hagedorn, Jim",New Richland City,1203
1,"Hagedorn, Jim",New Richland Township,443
1,"Hagedorn, Jim",Newry Township,450
1,"Hagedorn, Jim",New Sweden Township,297
1,"Hagedorn, Jim",New Ulm City,13522
1,"Hagedorn, Jim",Nicollet City,1093
1,"Hagedorn, Jim",Nicollet Township,527
1,"Hagedorn, Jim",North Mankato City,13394
1,"Hagedorn, Jim",Northrop City,227
1,"Hagedorn, Jim",North Star Township,287
1,"Hagedorn, Jim",Norton Township,490
1,"Hagedorn, Jim",Norway Township,343
1,"Hagedorn, Jim",Nunda Township,321
1,"Hagedorn, Jim",Oakland Township,396
1,"Hagedorn, Jim",Odin City,106
1,"Hagedorn, Jim",Odin Township,170
1,"Hagedorn, Jim",Okabena City,188
1,"Hagedorn, Jim",Olney Township,205
1,"Hagedorn, Jim",Orion Township,592
1,"Hagedorn, Jim",Ormsby City,131
1,"Hagedorn, Jim",Oronoco City,1300
1,"Hagedorn, Jim",Oronoco Township,2220
1,"Hagedorn, Jim",Oshawa Township,502
1,"Hagedorn, Jim",Ostrander City,254
1,"Hagedorn, Jim",Otisco Township,599
1,"Hagedorn, Jim",Ottawa Township,283
1,"Hagedorn, Jim",Owatonna City,25599
1,"Hagedorn, Jim",Owatonna Township,609
1,"Hagedorn, Jim",Pemberton City,247
1,"Hagedorn, Jim",Petersburg Township,232
1,"Hagedorn, Jim",Peterson City,199
1,"Hagedorn, Jim",Pickerel Lake Township,673
1,"Hagedorn, Jim",Pilot Grove Township,156
1,"Hagedorn, Jim",Pilot Mound Township,338
1,"Hagedorn, Jim",Pine Island City,703
1,"Hagedorn, Jim",Pleasant Grove Township,806
1,"Hagedorn, Jim",Pleasant Hill Township,531
1,"Hagedorn, Jim",Pleasant Mound Township,214
1,"Hagedorn, Jim",Pleasant Prairie Township,243
1,"Hagedorn, Jim",Pleasant Valley Township,304
1,"Hagedorn, Jim",Prairieville Township,255
1,"Hagedorn, Jim",Preble Township,209
1,"Hagedorn, Jim",Prescott Township,163
1,"Hagedorn, Jim",Preston City,1325
1,"Hagedorn, Jim",Preston Township,359
1,"Hagedorn, Jim",Quincy Township,339
1,"Hagedorn, Jim",Racine City,442
1,"Hagedorn, Jim",Racine Township,455
1,"Hagedorn, Jim",Ransom Township,230
1,"Hagedorn, Jim",Rapidan Township,1101
1,"Hagedorn, Jim",Red Rock Township,747
1,"Hagedorn, Jim",Riceland Township,434
1,"Hagedorn, Jim",Richmond Township,699
1,"Hagedorn, Jim",Ridgely Township,115
1,"Hagedorn, Jim",Ripley Township,195
1,"Hagedorn, Jim",Riverdale Township,294
1,"Hagedorn, Jim",Rochester City,106769
1,"Hagedorn, Jim",Rochester Township,1629
1,"Hagedorn, Jim",Rock Dell Township,647
1,"Hagedorn, Jim",Rolling Green Township,266
1,"Hagedorn, Jim",Rollingstone City,664
1,"Hagedorn, Jim",Rollingstone Township,701
1,"Hagedorn, Jim",Rome Township,143
1,"Hagedorn, Jim",Rose Creek City,394
1,"Hagedorn, Jim",Rose Dell Township,216
1,"Hagedorn, Jim",Rosendale Township,300
1,"Hagedorn, Jim",Rost Township,211
1,"Hagedorn, Jim",Round Lake City,376
1,"Hagedorn, Jim",Round Lake Township,166
1,"Hagedorn, Jim",Rushford City,1731
1,"Hagedorn, Jim",Rushford Village City,807
1,"Hagedorn, Jim",Rushmore City,342
1,"Hagedorn, Jim",Rutland City,437
1,"Hagedorn, Jim",Salem Township,1086
1,"Hagedorn, Jim",Saratoga Township,618
1,"Hagedorn, Jim",Sargeant City,61
1,"Hagedorn, Jim",Sargeant Township,310
1,"Hagedorn, Jim",Seely Township,193
1,"Hagedorn, Jim",Selma Township,193
1,"Hagedorn, Jim",Seward Township,208
1,"Hagedorn, Jim",Sharon Township,636
1,"Hagedorn, Jim",Shelby Township,265
1,"Hagedorn, Jim",Sheldon Township,266
1,"Hagedorn, Jim",Shell Rock Township,427
1,"Hagedorn, Jim",Sherburn City,1137
1,"Hagedorn, Jim",Shieldsville Township,1137
1,"Hagedorn, Jim",Sigel Township,344
1,"Hagedorn, Jim",Silver Lake Township,519
1,"Hagedorn, Jim",Sioux Valley Township,192
1,"Hagedorn, Jim",Skyline City,289
1,"Hagedorn, Jim",Sleepy Eye City,3599
1,"Hagedorn, Jim",Somerset Township,732
1,"Hagedorn, Jim",South Bend Township,1682
1,"Hagedorn, Jim",South Branch Township,282
1,"Hagedorn, Jim",Springfield City,2152
1,"Hagedorn, Jim",Spring Grove City,1330
1,"Hagedorn, Jim",Spring Grove Township,402
1,"Hagedorn, Jim",Spring Valley City,2479
1,"Hagedorn, Jim",Spring Valley Township,518
1,"Hagedorn, Jim",Springwater Township,252
1,"Hagedorn, Jim",Stark Township,348
1,"Hagedorn, Jim",Stately Township,165
1,"Hagedorn, Jim",St. Charles City,3735
1,"Hagedorn, Jim",St. Charles Township,629
1,"Hagedorn, Jim",St. Clair City,868
1,"Hagedorn, Jim",Steen City,180
1,"Hagedorn, Jim",Sterling Township,296
1,"Hagedorn, Jim",Stewartville City,5916
1,"Hagedorn, Jim",St. James City,4605
1,"Hagedorn, Jim",St. James Township,260
1,"Hagedorn, Jim",St. Mary Township,460
1,"Hagedorn, Jim",Stockton City,697
1,"Hagedorn, Jim",St. Peter City,11196
1,"Hagedorn, Jim",Summit Lake Township,323
1,"Hagedorn, Jim",Summit Township,466
1,"Hagedorn, Jim",Sumner Township,458
1,"Hagedorn, Jim",Taopi City,58
1,"Hagedorn, Jim",Tenhassen Township,260
1,"Hagedorn, Jim",Traverse Township,334
1,"Hagedorn, Jim",Trimont City,747
1,"Hagedorn, Jim",Truman City,1115
1,"Hagedorn, Jim",Twin Lakes City,151
1,"Hagedorn, Jim",Tyrone Township,562
1,"Hagedorn, Jim",Udolpho Township,448
1,"Hagedorn, Jim",Union Township,370
1,"Hagedorn, Jim",Utica City,291
1,"Hagedorn, Jim",Utica Township,639
1,"Hagedorn, Jim",Vernon Center City,332
1,"Hagedorn, Jim",Vernon Center Township,262
1,"Hagedorn, Jim",Vernon Township,665
1,"Hagedorn, Jim",Verona Township,364
1,"Hagedorn, Jim",Vienna Township,156
1,"Hagedorn, Jim",Viola Township,589
1,"Hagedorn, Jim",Vivian Township,259
1,"Hagedorn, Jim",Walcott Township,953
1,"Hagedorn, Jim",Waldorf City,229
1,"Hagedorn, Jim",Walnut Lake Township,214
1,"Hagedorn, Jim",Walters City,73
1,"Hagedorn, Jim",Waltham City,151
1,"Hagedorn, Jim",Waltham Township,339
1,"Hagedorn, Jim",Warren Township,651
1,"Hagedorn, Jim",Warsaw Township,1320
1,"Hagedorn, Jim",Waseca City,9410
1,"Hagedorn, Jim",Washington Township,715
1,"Hagedorn, Jim",Wasioja Township,914
1,"Hagedorn, Jim",Waterville City,1868
1,"Hagedorn, Jim",Waterville Township,716
1,"Hagedorn, Jim",Waverly Township,208
1,"Hagedorn, Jim",Webster Township,840
1,"Hagedorn, Jim",Weimer Township,142
1,"Hagedorn, Jim",Welcome City,686
1,"Hagedorn, Jim",Wells City,2343
1,"Hagedorn, Jim",Wells Township,1594
1,"Hagedorn, Jim",West Concord City,782
1,"Hagedorn, Jim",Westfield Township,451
1,"Hagedorn, Jim",Westford Township,295
1,"Hagedorn, Jim",West Heron Lake Township,181
1,"Hagedorn, Jim",West Newton Township,423
1,"Hagedorn, Jim",Westside Township,218
1,"Hagedorn, Jim",Whalan City,63
1,"Hagedorn, Jim",Wheatland Township,1237
1,"Hagedorn, Jim",Whitewater Township,198
1,"Hagedorn, Jim",Wilder City,60
1,"Hagedorn, Jim",Wilmington Township,434
1,"Hagedorn, Jim",Wilmont City,339
1,"Hagedorn, Jim",Wilmont Township,184
1,"Hagedorn, Jim",Wilson Township,1177
1,"Hagedorn, Jim",Wilton Township,365
1,"Hagedorn, Jim",Windom Township,606
1,"Hagedorn, Jim",Winnebago City,1437
1,"Hagedorn, Jim",Winnebago City Township,201
1,"Hagedorn, Jim",Winnebago Township,240
1,"Hagedorn, Jim",Winona City,27592
1,"Hagedorn, Jim",Wisconsin Township,233
1,"Hagedorn, Jim",Wiscoy Township,361
1,"Hagedorn, Jim",Woodville Township,1332
1,"Hagedorn, Jim",Worthington City,12764
1,"Hagedorn, Jim",Worthington Township,328
1,"Hagedorn, Jim",Wykoff City,444
1,"Hagedorn, Jim",York Township,368
1,"Hagedorn, Jim",Yucatan Township,323
2,"Craig, Angie",Apple Valley City,49084
2,"Craig, Angie",Bellechester City,175
2,"Craig, Angie",Belle Creek Township,501
2,"Craig, Angie",Belle Plaine City,6661
2,"Craig, Angie",Belle Plaine Township,878
2,"Craig, Angie",Belvidere Township,462
2,"Craig, Angie",Blakeley Township,418
2,"Craig, Angie",Bridgewater Township,1772
2,"Craig, Angie",Burnsville City,60306
2,"Craig, Angie",Cannon Falls City,4083
2,"Craig, Angie",Cannon Falls Township,1070
2,"Craig, Angie",Castle Rock Township,1342
2,"Craig, Angie",Cedar Lake Township,2779
2,"Craig, Angie",Cherry Grove Township,397
2,"Craig, Angie",Chester Township,455
2,"Craig, Angie",Coates City,161
2,"Craig, Angie",Cottage Grove City,34589
2,"Craig, Angie",Credit River Township,5096
2,"Craig, Angie",Denmark Township,1737
2,"Craig, Angie",Dennison City,212
2,"Craig, Angie",Douglas Township,716
2,"Craig, Angie",Dundas City,1367
2,"Craig, Angie",Eagan City,64206
2,"Craig, Angie",Elgin City,1089
2,"Craig, Angie",Elgin Township,733
2,"Craig, Angie",Elko New Market City,4110
2,"Craig, Angie",Empire Township,2444
2,"Craig, Angie",Eureka Township,1426
2,"Craig, Angie",Farmington City,21086
2,"Craig, Angie",Featherstone Township,782
2,"Craig, Angie",Florence Township,1581
2,"Craig, Angie",Gillford Township,572
2,"Craig, Angie",Glasgow Township,247
2,"Craig, Angie",Goodhue City,1176
2,"Craig, Angie",Goodhue Township,525
2,"Craig, Angie",Greenfield Township,1349
2,"Craig, Angie",Greenvale Township,803
2,"Craig, Angie",Grey Cloud Island Township,289
2,"Craig, Angie",Hammond City,132
2,"Craig, Angie",Hampton City,689
2,"Craig, Angie",Hampton Township,903
2,"Craig, Angie",Hastings City,22172
2,"Craig, Angie",Hay Creek Township,882
2,"Craig, Angie",Helena Township,1648
2,"Craig, Angie",Highland Township,462
2,"Craig, Angie",Holden Township,454
2,"Craig, Angie",Hyde Park Township,286
2,"Craig, Angie",Inver Grove Heights City,33880
2,"Craig, Angie",Jackson Township,1464
2,"Craig, Angie",Jordan City,5470
2,"Craig, Angie",Kellogg City,456
2,"Craig, Angie",Kenyon City,1815
2,"Craig, Angie",Kenyon Township,393
2,"Craig, Angie",Lake City,5063
2,"Craig, Angie",Lake Township,442
2,"Craig, Angie",Lakeville City,55954
2,"Craig, Angie",Leon Township,885
2,"Craig, Angie",Lilydale City,623
2,"Craig, Angie",Louisville Township,1266
2,"Craig, Angie",Marshan Township,1106
2,"Craig, Angie",Mazeppa City,842
2,"Craig, Angie",Mazeppa Township,717
2,"Craig, Angie",Mendota City,198
2,"Craig, Angie",Mendota Heights City,11071
2,"Craig, Angie",Miesville City,125
2,"Craig, Angie",Millville City,182
2,"Craig, Angie",Minneiska City,61
2,"Craig, Angie",Minneiska Township,185
2,"Craig, Angie",Minneola Township,629
2,"Craig, Angie",Mount Pleasant Township,447
2,"Craig, Angie",Nerstrand City,295
2,"Craig, Angie",New Market Township,3440
2,"Craig, Angie",New Prague City,4280
2,"Craig, Angie",New Trier City,112
2,"Craig, Angie",Nininger Township,950
2,"Craig, Angie",Northfield City,20007
2,"Craig, Angie",Northfield Township,842
2,"Craig, Angie",Oakwood Township,405
2,"Craig, Angie",Pepin Township,378
2,"Craig, Angie",Pine Island City,2560
2,"Craig, Angie",Pine Island Township,551
2,"Craig, Angie",Plainview City,3340
2,"Craig, Angie",Plainview Township,443
2,"Craig, Angie",Prior Lake City,22796
2,"Craig, Angie",Randolph City,436
2,"Craig, Angie",Randolph Township,659
2,"Craig, Angie",Ravenna Township,2336
2,"Craig, Angie",Red Wing City,16459
2,"Craig, Angie",Richland Township,416
2,"Craig, Angie",Roscoe Township,732
2,"Craig, Angie",Rosemount City,21874
2,"Craig, Angie",Sand Creek Township,1521
2,"Craig, Angie",Savage City,26911
2,"Craig, Angie",Sciota Township,414
2,"Craig, Angie",Shakopee City,37076
