district,name,mcdname,mcd,pop
01A,John Burkel,Alvarado City,270892393942,388
01A,John Burkel,Argyle City,270892393982,544
01A,John Burkel,Arveson Township,27069663464,100
01A,John Burkel,Augsburg Township,27089663477,71
01A,John Burkel,Badger City,271352394049,429
01A,John Burkel,Barnett Township,27135663508,137
01A,John Burkel,Barto Township,27135663516,116
01A,John Burkel,Beaver Township,27135663538,98
01A,John Burkel,Big Woods Township,27089663591,35
01A,John Burkel,Black River Township,27113663610,67
01A,John Burkel,Bloomer Township,27089663616,71
01A,John Burkel,Boxville Township,27089663640,125
01A,John Burkel,Bray Township,27113663656,53
01A,John Burkel,Cannon Township,27069663741,18
01A,John Burkel,Caribou Township,27069663748,32
01A,John Burkel,Cedarbend Township,27135663766,157
01A,John Burkel,Cedar Township,27089663764,74
01A,John Burkel,Cloverleaf Township,27113663838,90
01A,John Burkel,Clow Township,27069663839,33
01A,John Burkel,Como Township,27089663857,44
01A,John Burkel,Comstock Township,27089663860,127
01A,John Burkel,Davis Township,27069663933,35
01A,John Burkel,Deer Park Township,27113663947,128
01A,John Burkel,Deer Township,27135663940,109
01A,John Burkel,Deerwood Township,27069663952,143
01A,John Burkel,Dewey Township,27135663975,98
01A,John Burkel,Dieter Township,27135663979,148
01A,John Burkel,Donaldson City,270692394543,20
01A,John Burkel,Donnelly Township,27089663989,20
01A,John Burkel,Eagle Point Township,27089664019,10
01A,John Burkel,East Kittson Unorganized,27069664029,3
01A,John Burkel,East Park Township,27089664033,29
01A,John Burkel,East Valley Township,27089664035,43
01A,John Burkel,Eckvoll Township,27089664039,70
01A,John Burkel,Enstrom Township,27135664100,418
01A,John Burkel,Espelie Township,27089664110,30
01A,John Burkel,Excel Township,27089664122,310
01A,John Burkel,Falun Township,27135664140,242
01A,John Burkel,Foldahl Township,27089664184,78
01A,John Burkel,Fork Township,27089664198,7
01A,John Burkel,Golden Valley Township,27135664287,180
01A,John Burkel,Goodridge City,271132394930,112
01A,John Burkel,Goodridge Township,27113664295,79
01A,John Burkel,Grand Plain Township,27089664316,54
01A,John Burkel,Granville Township,27069664329,65
01A,John Burkel,Greenbush City,271352394979,682
01A,John Burkel,Grimstad Township,27135664357,121
01A,John Burkel,Grygla City,270892394258,180
01A,John Burkel,Alma Township,27089663416,77
01A,John Burkel,Hallock City,270692394269,906
01A,John Burkel,Hallock Township,27069664373,84
01A,John Burkel,Halma City,270692394271,58
01A,John Burkel,Hampden Township,27069664384,29
01A,John Burkel,Hazelton Township,27069664433,100
01A,John Burkel,Hereim Township,27135664458,227
01A,John Burkel,Hickory Township,27113664466,69
01A,John Burkel,Highlanding Township,27113664471,202
01A,John Burkel,Hill Township,27069664473,22
01A,John Burkel,Holt City,270892394407,90
01A,John Burkel,Holt Township,27089664508,120
01A,John Burkel,Humboldt City,270692394444,41
01A,John Burkel,Huntly Township,27089664533,69
01A,John Burkel,Huss Township,27135664535,106
01A,John Burkel,Jadis Township,27135664570,624
01A,John Burkel,Jupiter Township,27069664591,109
01A,John Burkel,Karlstad City,270692395493,710
01A,John Burkel,Kennedy City,270692395506,176
01A,John Burkel,Kratka Township,27113664646,145
01A,John Burkel,Lake Bronson City,270692395587,178
01A,John Burkel,Lake Township,27135664658,1980
01A,John Burkel,Lancaster City,270692395623,364
01A,John Burkel,Laona Township,27135664727,508
01A,John Burkel,Lincoln Township,27089664786,81
01A,John Burkel,Lind Township,27135664787,32
01A,John Burkel,Linsell Township,27089664792,20
01A,John Burkel,Malung Township,27135664882,391
01A,John Burkel,Marsh Grove Township,27089664922,119
01A,John Burkel,Mayfield Township,27113664934,49
01A,John Burkel,McCrea Township,27089664855,247
01A,John Burkel,McKinley Unorganized,270692393297,38
01A,John Burkel,Mickinock Township,27135664962,261
01A,John Burkel,Middle River City,270892395315,304
01A,John Burkel,Middle River Township,27089664964,80
01A,John Burkel,Moose River Township,27089665028,28
01A,John Burkel,Moose Township,27135665021,103
01A,John Burkel,Moranville Township,27135665031,911
01A,John Burkel,Moylan Township,27089665060,96
01A,John Burkel,Mud Lake Unorganized,27089665062,0
01A,John Burkel,Nelson Park Township,27089665076,124
01A,John Burkel,Nereson Township,27135665077,56
01A,John Burkel,Newfolden City,270892395224,352
01A,John Burkel,New Folden Township,27089665094,216
01A,John Burkel,New Maine Township,27089665102,200
01A,John Burkel,New Solum Township,27089665113,315
01A,John Burkel,Norden Township,27113665132,369
01A,John Burkel,North Red River Unorganized,270692393302,0
01A,John Burkel,North Roseau Unorganized,27135665169,161
01A,John Burkel,North Township,27113665142,761
01A,John Burkel,Northwest Roseau Unorganized,27135665175,28
01A,John Burkel,Norway Township,27069665179,94
01A,John Burkel,Numedal Township,27113665183,97
01A,John Burkel,Oak Park Township,27089665191,111
01A,John Burkel,Oslo City,270892396096,239
01A,John Burkel,Palmville Township,27135665251,42
01A,John Burkel,Parker Township,27089665255,36
01A,John Burkel,Pelan Township,27069665269,46
01A,John Burkel,Percy Township,27069665283,38
01A,John Burkel,Pohlitz Township,27135665329,37
01A,John Burkel,Polk Centre Township,27113665331,66
01A,John Burkel,Polonia Township,27135665332,26
01A,John Burkel,Agder Township,27089663386,112
01A,John Burkel,Poplar Grove Township,27135665338,81
01A,John Burkel,Poppleton Township,27069665342,133
01A,John Burkel,Reiner Township,27113665394,92
01A,John Burkel,Reine Township,27135665393,94
01A,John Burkel,Richardville Township,27069665412,107
01A,John Burkel,River Falls Township,27113665425,191
01A,John Burkel,Rocksbury Township,27113665438,1102
01A,John Burkel,Rollis Township,27089665450,102
01A,John Burkel,Roosevelt City,271352396425,152
01A,John Burkel,Roseau City,271352396430,2744
01A,John Burkel,Ross Township,27135665473,403
01A,John Burkel,Saint Hilaire City,271132396492,273
01A,John Burkel,Saint Joseph Township,27069665516,32
01A,John Burkel,Saint Vincent City,270692396522,57
01A,John Burkel,Saint Vincent Township,27069665535,43
01A,John Burkel,Sanders Township,27113665542,298
01A,John Burkel,Silverton Township,27113665618,187
01A,John Burkel,Sinnott Township,27089665620,26
01A,John Burkel,Skagen Township,27135665624,202
01A,John Burkel,Skane Township,27069665626,45
01A,John Burkel,Smiley Township,27113665635,620
01A,John Burkel,Soler Township,27135665640,87
01A,John Burkel,Southeast Roseau Unorganized,27135665650,215
01A,John Burkel,South Red River Township,27069665655,20
01A,John Burkel,Spring Brook Township,27069665666,49
01A,John Burkel,Spruce Township,27135665684,582
01A,John Burkel,Spruce Valley Township,27089665688,239
01A,John Burkel,Stafford Township,27135665691,269
01A,John Burkel,Star Township,27113665698,101
01A,John Burkel,Stephen City,270892395964,592
01A,John Burkel,Stokes Township,27135665716,219
01A,John Burkel,Strandquist City,270892395982,70
01A,John Burkel,Strathcona City,271352395985,25
01A,John Burkel,Svea Township,27069665746,35
01A,John Burkel,Tamarac Township,27089665759,72
01A,John Burkel,Tegner Township,27069665770,38
01A,John Burkel,Teien Township,27069665771,69
01A,John Burkel,Thief Lake Township,27089665778,30
01A,John Burkel,Thief River Falls City,271132396049,8749
01A,John Burkel,Thompson Township,27069665782,137
01A,John Burkel,Valley Township,27089665850,135
01A,John Burkel,Vega Township,27089665853,135
01A,John Burkel,Veldt Township,27089665854,45
01A,John Burkel,Viking City,270892397139,79
01A,John Burkel,Viking Township,27089665873,175
01A,John Burkel,Wanger Township,27089665913,73
01A,John Burkel,Warren City,270892397194,1528
01A,John Burkel,Warrenton Township,27089665918,101
01A,John Burkel,Warroad City,271352397198,1830
01A,John Burkel,West Valley Township,27089665975,158
01A,John Burkel,Whiteford Township,27089665988,41
01A,John Burkel,Wright Township,27089666057,93
01A,John Burkel,Wyandotte Township,27113666059,92
01B,Debra Kiel,Ada City,271072393879,1740
01B,Debra Kiel,Andover Township,27119663433,109
01B,Debra Kiel,Angus Township,27119663436,82
01B,Debra Kiel,Anthony Township,27107663442,65
01B,Debra Kiel,Badger Township,27119663490,118
01B,Debra Kiel,Bear Park Township,27107663531,172
01B,Debra Kiel,Belgium Township,27119663550,63
01B,Debra Kiel,Beltrami City,271192394126,88
01B,Debra Kiel,Borup City,271072394223,96
