house_dfl_candidates
James Sceville
Cindy Ansbacher
Reed Olson
Erika Bailey-Johnson
Rob Ecklund (i)
Mary Murphy (i)
Heather Keeler (i)
John Hest
Brian Hobson
no candidate
Richard Blake
Sally Boos
Julie Sandstede (i)
Dave Lislegard (i)
Liz Olson (i)
Alicia Kozlowski
Nancy Jost
Jason Satter
no candidate
Hunter Froelich
Pete Radosevich
Eric Olson
Edie Barrett
Jeremy Vinar
Andrea Robinson
Melissa Bromenschenkel
Tamara Calhoun
Dan Wolgamott (i)
Keith VanOverbeke
Tom Kuster
Robert Wright
Fred Cogelow
Jennifer Carpentier
no candidate
Jeff Brand
Luke Frederick (i)
Carolyn Treadway
Abdulahi Ali Osman
Laurel Stinson
Elise Diesslin
Patrick Baustian
Michael Heidelberger
Marisa Ulmen
Marcia Stapleton
Mary Hinnenkamp
Thomas Stiehm
Keith McLain
Tina Liebling (i)
Kim Hicks
Andrew Smith
Gene Pelowski Jr. (i)
no candidate
Ron Thiessen
Brad Brown
Erik Johnson
Katie Malchow
Sherri Leyda
no candidate
Sonja Buckmeier
Chad Hobot
Betsy O'Berry
Bill Fisher
Ashton Ramsammy
Matt Norris
Hanna Valento
Josiah Hill
Brian Raines
Melissa Hortman (i)
Zack Stephenson (i)
Jerry Newton
Susie Strom
Brion Curran
Caitlin Cahill
Kristin Bahner (i)
Michael Nelson (i)
Samantha Vang (i)
Erin Koegel (i)
Sandra Feist (i)
Kelly Moller (i)
Jamie Becker-Finn (i)
Patricia Driscoll
Tina Folch
Ned Carroll
Ginny Klevorn (i)
Cedrick Frazier (i)
Mike Freiberg (i)
Peter Fischer (i)
Leon Lillie (i)
Lauren Bresnahan
Patty Acomb (i)
Larry Kraft
Cheryl Youakim (i)
Amanda Hemmingsen-Jaeger
Ethan Cha
Nathan Kells
Lucille Rehm
Laurie Pryor (i)
Carlie Kotyza-Witthuhn (i)
Heather Edelson (i)
Steve Elkins (i)
Michael Howard (i)
Nathan Coulter
Liz Reyer (i)
Ruth Richardson (i)
Mary Frances Clardy
Rick Hansen (i)
Brad Tabke
Brendan Van Alstyne
Jessica Hanson (i)
Kaela Berg (i)
Robert Bierman (i)
John Huot (i)
Greg Henningsen
Erin Preese
Kristi Pursell
Steve Dungy
Fue Lee (i)
Esther Agbaje (i)
Sydney Jordan (i)
Mohamud Noor (i)
Frank Hornstein (i)
Jamie Long (i)
Aisha Gomez (i)
Hodan Hassan (i)
Samantha Sencer-Mura
Emma Greenman (i)
Kaohly Her (i)
Dave Pinto (i)
Samakab Hussein
Maria Isa Pérez-Hedges
Leigh Finke
Athena Hollins (i)
Liz Lee
Jay Xiong (i)
